model_name,split,sample_id,summarizer,f1_score,precision,recall,length_ratio,wer,medical_wer
whisper_base,eval,108,bert_extractive,0.8260869565217391,0.7916666666666666,0.8636363636363636,1.0909090909090908,0.1739130434782608,0.0
whisper_base,eval,152,mt5_small,0.0,0.0,0.0,0.18518518518518517,0.0333333333333333,0.0
whisper_base,eval,152,bert_extractive,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,0.0333333333333333,0.0
whisper_base,eval,146,mt5_small,0.0,0.0,0.0,0.25,0.0384615384615384,0.0
whisper_base,eval,146,bert_extractive,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.0384615384615384,0.0
whisper_base,eval,111,mt5_small,0.44827586206896547,0.52,0.3939393939393939,0.7575757575757576,0.3333333333333333,0.0
whisper_base,eval,111,bert_extractive,0.5538461538461538,0.5625,0.5454545454545454,0.9696969696969697,0.3333333333333333,0.0
whisper_base,eval,42,mt5_small,0.17142857142857143,0.5,0.10344827586206896,0.20689655172413793,0.0909090909090909,0.0
whisper_base,eval,42,bert_extractive,0.9491525423728815,0.9333333333333333,0.9655172413793104,1.0344827586206897,0.0909090909090909,0.0
whisper_base,eval,112,mt5_small,0.0,0.0,0.0,0.25,0.1470588235294117,0.0
whisper_base,eval,112,bert_extractive,0.6181818181818182,0.6296296296296297,0.6071428571428571,0.9642857142857143,0.1470588235294117,0.0
whisper_base,eval,147,mt5_small,0.06666666666666667,0.3333333333333333,0.037037037037037035,0.1111111111111111,0.0625,0.0
whisper_base,eval,147,bert_extractive,0.8421052631578948,0.8,0.8888888888888888,1.1111111111111112,0.0625,0.0
whisper_base,eval,173,mt5_small,0.5499999999999999,0.8461538461538461,0.4074074074074074,0.48148148148148145,0.0606060606060606,0.0
whisper_base,eval,173,bert_extractive,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,0.0606060606060606,0.0
whisper_base,eval,212,mt5_small,0.4444444444444445,0.4,0.5,1.25,0.3333333333333333,0.0
whisper_base,eval,212,bert_extractive,0.8571428571428571,1.0,0.75,0.75,0.3333333333333333,0.0
whisper_base,eval,46,mt5_small,0.11764705882352941,0.14285714285714285,0.1,0.7,0.6363636363636364,0.0
whisper_base,eval,46,bert_extractive,0.6222222222222222,0.56,0.7,1.25,0.6363636363636364,0.0
whisper_base,eval,82,mt5_small,0.0,0.0,0.0,0.1111111111111111,0.1034482758620689,0.0
whisper_base,eval,82,bert_extractive,0.9259259259259259,0.9259259259259259,0.9259259259259259,1.0,0.1034482758620689,0.0
whisper_base,eval,63,mt5_small,0.05263157894736842,0.09090909090909091,0.037037037037037035,0.4074074074074074,0.25,0.0
